1
A648D04171,ÉäÅ[Éhê¸í∑Ç≥ê°ñ@,60,ÉmÉMÉX,1998/08/29,1998/08/29
FC140-4,1,11.500000,9.500000,mm, X5275, X5300
9.000000,12.000000,2,#0.00,#0.000
0.500000,9.000000,12.000000
1.000000,0.000000,3.000000
2,#0.00,#0.000
1998/08/29, X5275,9.020000,9.040000,9.030000,0.020000
1998/08/29, X5276,11.470000,9.160000,10.315000,2.310000
1998/08/29, X5276,12.000000,11.500000,11.750000,0.500000
1998/08/29, X5277,10.310000,11.840000,11.075000,1.530000
1998/08/29, X5277,10.000000,10.200000,10.100000,0.200000
1998/08/29, X5278,9.630000,10.410000,10.020000,0.780000
1998/08/29, X5278,10.000000,10.000000,10.000000,0.000000
1998/08/29, X5279,10.050000,10.800000,10.425000,0.750000
1998/08/29, X5279,10.200000,10.300000,10.250000,0.100000
1998/08/29, X5280,9.900000,9.000000,9.450000,0.900000
1998/08/29, X5281,11.100000,11.300000,11.200000,0.200000
1998/08/29, X5282,10.200000,10.300000,10.250000,0.100000
1998/08/29, X5283,10.800000,10.900000,10.850000,0.100000
1998/08/29, X5284,10.970000,10.980000,10.975000,0.010000
1998/08/29, X5285,10.980000,10.980000,10.980000,0.000000
1998/08/29, X5286,10.980000,10.980000,10.980000,0.000000
1998/08/29, X5287,10.980000,10.980000,10.980000,0.000000
1998/08/29, X5288,10.980000,10.980000,10.980000,0.000000
1998/08/29, X5289,10.980000,10.950000,10.965000,0.030000
1998/08/29, X5290,10.900000,10.980000,10.940000,0.080000
1998/08/29, X5291,11.000000,10.980000,10.990000,0.020000
1998/08/29, X5292,10.980000,11.000000,10.990000,0.020000
1998/08/29, X5293,10.980000,11.200000,11.090000,0.220000
1998/08/29, X5294,10.980000,10.980000,10.980000,0.000000
1998/08/29, X5295,10.980000,10.980000,10.980000,0.000000
1998/08/29, X5296,10.980000,10.980000,10.980000,0.000000
1998/08/29, X5297,10.980000,10.980000,10.980000,0.000000
1998/08/29, X5298,10.980000,10.980000,10.980000,0.000000
1998/08/29, X5299,10.980000,10.980000,10.980000,0.000000
1998/08/29, X5300,10.980000,10.980000,10.980000,0.000000
*,0,0,0,0,0
