SocketNo = 1, Connect 2 OK
SocketNo = 2, Connect 3 OK
3, 1042.32mV00.
3, 000A
3, 1043
3, .22m
3, V00.
3, 000A
2, 1044.82mV00.000A
3, 1043
3, .81m
3, V00.
2, 000A
2, 1042.94mV00.000A
2, 1042.10mV00.001A
2, 1041.39mV00.000A
2, 1040.58mV00.001A
2, 1040.20mV00.000A
2, 1040.21mV00.000A
2, 1040.23mV00.000A
2, 1040.23mV00.000A
2, 1040.30mV00.000A
2, 1040.32mV00.000A
2, 1040.22mV00.000A
2, 1040.21mV00.000A
2, 1040.19mV00.000A
2, 1040.19mV00.000A
2, 1040.20mV00.000A
2, 1040.17mV00.000A
2, 1040.14mV00.000A
2, 1040.25mV00.000A
2, 1040.19mV00.000A
2, 1040.19mV00.000A
2, 1040.21mV00.000A
2, 1040.23mV00.000A
2, 1040.23mV00.000A
2, 1040.28mV00.000A
3, 2016.24mV00.000A
3, 1041
3, .03m
3, V00.
3, 000A
3, 2016.31mV00.000A
3, 2016.31mV00.000A
3, 2016.32mV00.000A
3, 2016.25mV00.000A
3, 1042
3, .22m
3, V00.
3, 000A
3, 1042
3, .57m
3, V00.
3, 000A
3, 1043
3, .01m
3, V00.
3, 000A
3, 1043
3, .32m
3, V00.
3, 000A
3, 1043
3, .65m
3, V00.
3, 000A
2, 1043.90mV00.000A
2, 1044.49mV00.000A
2, 1045.28mV00.000A
2, 1045.58mV00.000A
2, 1043.90mV00.000A
2, 1037.57mV00.000A
2, 2016
2, .62m
2, V00.
2, 000A
3, 2016.77mV00.000A
3, 2016.84mV00.000A
3, 2016.85mV00.000A
3, 1033
3, .06m
3, V00.
3, 000A
3, 1032
3, .17m
3, V00.
3, 000A
3, 1031
3, .62m
3, V00.
2, 000A
3, 1030.95
3, mV00
3, .000
3, A
3, 1030
3, .32m
3, V00.
3, 000A
3, 1029
3, .28m
3, V00.
3, 000A
3, 1028
3, .56m
3, V00.
3, 000A
2, 1027.66mV00.000A
3, 2017.18mV00.000A
3, 2016.64mV00.000A
3, 1023
3, .60m
3, V00.
3, 000A
3, 1022
3, .82m
3, V00.
3, 000A
3, 1022
3, .08m
3, V00.
2, 000A
2, 1021.72mV00.000A
2, 1020.29mV00.000A
2, 1015.57mV00.000A
2, 1015.48mV00.000A
2, 1015.50mV00.000A
2, 1015.50mV00.000A
2, 1015.50mV00.000A
2, 1015.51mV00.000A
2, 1015.53mV00.000A
2, 1015.57mV00.000A
2, 1015.53mV00.000A
2, 1015.54mV00.000A
2, 2010
2, .32m
2, V00.
2, 000A
2, 2010
2, .06m
2, V00.
2, 000A
2, 1005.02mV00.000A
2, 2007
2, .00m
2, V00.
2, 000A
2, 2006
2, .88m
2, V00.
3, 000A
2, 1005.39mV00.000A
3, 006.
3, 01mV
3, 00.0
3, 00A
3, 1006
3, .72m
3, V00.
3, 000A
3, 1006
3, .00m
3, V00.
3, 000A
2, 1005.77mV00.000A
